State,School_Level,School_Locality,School_Size,Subject,Race,Gender,Experience
FL,Elementary,Urban,Lessthan250,ELA,White,Male,16Plus
KS,Elementary,Suburban,1000Plus,NatSci,White,Female,16Plus
FL,High,Suburban,1000Plus,Math,White,Male,3to9
MS,Elementary,Suburban,250to499,ELA,White,Male,16Plus
FL,Elementary,Urban,Lessthan250,NatSci,White,Female,16Plus
FL,Elementary,Town,1000Plus,ELA,White,Female,3to9
TX,High,Urban,1000Plus,Math,White,Male,16Plus
FL,High,Town,500to999,ELA,Black,Female,16Plus
TN,Elementary,Urban,250to499,ELA,White,Female,16Plus
WV,High,Town,250to499,Math,White,Male,16Plus
OH,High,Rural,1000Plus,ELA,White,Female,16Plus
MA,Middle,Town,250to499,NatSci,White,Female,3to9
TX,Elementary,Suburban,1000Plus,Math,White,Female,16Plus
MA,Elementary,Town,250to499,Math,White,Female,16Plus
NE,Middle,Suburban,500to999,Math,White,Female,10to15
NY,Middle,Town,250to499,ELA,White,Female,16Plus
SC,High,Rural,1000Plus,ELA,Asian,Female,16Plus
KY,Elementary,Suburban,1000Plus,NatSci,White,Female,10to15
CA,Elementary,Urban,1000Plus,ELA,White,Female,16Plus
NM,Elementary,Rural,1000Plus,NatSci,White,Female,10to15
RI,Elementary,Rural,1000Plus,Math,White,Male,16Plus
LA,Elementary,Suburban,250to499,ELA,Hispanic,Female,3to9
MS,Middle,Suburban,500to999,ELA,White,Male,3to9
TX,Middle,Urban,1000Plus,Math,White,Female,10to15
FL,Elementary,Town,500to999,NatSci,Multirace,Female,16Plus
TN,High,Town,1000Plus,NatSci,White,Female,10to15
LA,High,Town,250to499,Math,White,Female,16Plus
TX,Elementary,Suburban,500to999,NatSci,White,Female,16Plus
TN,Elementary,Town,1000Plus,ELA,White,Female,3to9
TN,High,Rural,500to999,ELA,White,Male,10to15
NE,Elementary,Rural,500to999,NatSci,White,Female,3to9
NM,Elementary,Suburban,1000Plus,Math,White,Male,16Plus
LA,Elementary,Suburban,1000Plus,NatSci,White,Female,3to9
KY,High,Suburban,1000Plus,ELA,Multirace,Female,3to9
LA,High,Suburban,500to999,NatSci,White,Female,16Plus
TX,Elementary,Town,1000Plus,Math,White,Female,16Plus
TN,Elementary,Urban,1000Plus,ELA,White,Male,16Plus
MA,High,Urban,250to499,Math,White,Female,16Plus
GA,High,Urban,500to999,Math,Other,Female,16Plus
UT,Middle,Rural,1000Plus,NatSci,White,Female,Lessthan3
MS,Middle,Rural,250to499,Math,White,Female,3to9
CA,Elementary,Urban,1000Plus,Math,Black,Male,16Plus
NY,Elementary,Urban,500to999,Math,Hispanic,Female,16Plus
KY,Elementary,Suburban,1000Plus,ELA,NHPI,Female,16Plus
OH,Elementary,Suburban,1000Plus,Math,White,Female,16Plus
IL,High,Urban,1000Plus,ELA,White,Female,16Plus
CO,High,Urban,250to499,ELA,White,Female,16Plus
NM,Middle,Town,250to499,ELA,White,Female,16Plus
MS,Elementary,Rural,500to999,ELA,Multirace,Female,16Plus
LA,High,Rural,Lessthan250,Math,White,Female,16Plus
FL,Middle,Rural,500to999,Math,Multirace,Female,3to9
FL,Middle,Suburban,500to999,NatSci,White,Female,10to15
DE,Elementary,Suburban,500to999,NatSci,White,Male,10to15
NY,High,Rural,250to499,ELA,Black,Female,16Plus
AL,Elementary,Suburban,250to499,ELA,White,Female,16Plus
AL,Elementary,Town,500to999,Math,Other,Male,10to15
FL,Middle,Suburban,1000Plus,NatSci,Hispanic,Female,16Plus
AR,High,Suburban,250to499,NatSci,White,Female,10to15
TX,Elementary,Town,1000Plus,NatSci,White,Female,16Plus
RI,High,Urban,500to999,NatSci,White,Female,10to15
FL,Middle,Suburban,250to499,Math,White,Male,16Plus
NY,Elementary,Urban,250to499,Math,White,Female,16Plus
GA,Elementary,Rural,500to999,Math,White,Female,16Plus
NC,Elementary,Suburban,500to999,ELA,White,Female,3to9
OH,Elementary,Town,250to499,ELA,Hispanic,Female,16Plus
CA,Elementary,Rural,1000Plus,ELA,Hispanic,Female,16Plus
CA,High,Suburban,1000Plus,NatSci,White,Male,3to9
RI,High,Rural,250to499,NatSci,White,Female,3to9
CA,Middle,Suburban,250to499,ELA,White,Female,10to15
VA,Elementary,Town,500to999,NatSci,White,Female,3to9
VA,Middle,Urban,250to499,Math,White,Female,3to9
CA,Elementary,Rural,500to999,ELA,White,Male,3to9
CO,High,Suburban,500to999,ELA,White,Female,10to15
NM,Elementary,Rural,250to499,NatSci,White,Male,16Plus
NM,Elementary,Urban,500to999,NatSci,White,Female,10to15
AR,Elementary,Suburban,500to999,Math,White,Female,10to15
TX,Elementary,Suburban,1000Plus,NatSci,White,Female,16Plus
WI,Elementary,Suburban,250to499,NatSci,Hispanic,Female,10to15
VA,Elementary,Urban,500to999,NatSci,White,Male,16Plus
FL,High,Urban,500to999,ELA,White,Female,10to15
KY,Elementary,Urban,250to499,Math,White,Female,16Plus
RI,High,Rural,250to499,ELA,White,Female,10to15
TN,High,Urban,1000Plus,ELA,White,Male,16Plus
WI,Elementary,Rural,1000Plus,ELA,White,Female,3to9
TX,Elementary,Suburban,250to499,Math,White,Female,16Plus
OH,Middle,Urban,250to499,ELA,Hispanic,Female,10to15
AL,High,Suburban,250to499,Math,White,Female,3to9
DE,Elementary,Urban,1000Plus,ELA,Black,Female,3to9
RI,Elementary,Rural,1000Plus,NatSci,AIAN,Female,16Plus
WI,Elementary,Suburban,1000Plus,ELA,Hispanic,Female,3to9
WI,Elementary,Town,1000Plus,ELA,White,Female,16Plus
NY,Elementary,Town,1000Plus,NatSci,Multirace,Female,16Plus
CA,Elementary,Rural,1000Plus,Math,White,Female,3to9
NY,Elementary,Suburban,1000Plus,NatSci,White,Female,10to15
NC,Elementary,Town,500to999,Math,White,Female,16Plus
NC,High,Suburban,250to499,ELA,White,Female,3to9
CA,High,Suburban,Lessthan250,NatSci,White,Female,16Plus
TX,Elementary,Urban,500to999,ELA,White,Female,10to15
CA,High,Urban,500to999,Math,Hispanic,Female,10to15
WI,Elementary,Rural,500to999,NatSci,Hispanic,Female,16Plus
CA,Elementary,Town,250to499,ELA,White,Female,3to9
NY,Elementary,Urban,1000Plus,ELA,White,Female,3to9
MA,Elementary,Urban,500to999,Math,White,Female,3to9
RI,High,Suburban,500to999,ELA,White,Female,3to9
NE,Middle,Urban,500to999,ELA,Black,Female,16Plus
NM,Elementary,Urban,500to999,Math,Multirace,Female,16Plus
LA,Elementary,Rural,250to499,NatSci,White,Female,10to15
KY,Elementary,Urban,250to499,ELA,White,Female,16Plus
DE,Elementary,Town,250to499,ELA,White,Female,3to9
MS,Elementary,Urban,500to999,Math,White,Female,16Plus
SC,High,Urban,1000Plus,NatSci,White,Female,16Plus
NJ,Elementary,Rural,1000Plus,ELA,White,Female,16Plus
TN,High,Suburban,1000Plus,ELA,Multirace,Female,16Plus
KS,Middle,Suburban,500to999,Math,White,Male,3to9
CA,Middle,Suburban,1000Plus,NatSci,White,Female,3to9
MI,Elementary,Suburban,1000Plus,ELA,White,Female,3to9
FL,High,Urban,250to499,NatSci,White,Female,16Plus
TN,Middle,Suburban,1000Plus,Math,White,Male,3to9
MI,Elementary,Rural,500to999,Math,White,Female,16Plus
NY,High,Rural,500to999,ELA,White,Female,3to9
MS,Elementary,Suburban,500to999,Math,White,Female,3to9
MA,High,Suburban,1000Plus,Math,White,Female,16Plus
WV,High,Suburban,1000Plus,NatSci,White,Female,16Plus
MA,Elementary,Urban,500to999,ELA,White,Female,16Plus
KY,Elementary,Town,500to999,NatSci,White,Female,16Plus
KY,High,Town,500to999,ELA,White,Female,3to9
LA,Elementary,Suburban,500to999,Math,White,Female,3to9
DE,Elementary,Rural,1000Plus,ELA,White,Female,10to15
AR,Elementary,Town,250to499,NatSci,White,Female,16Plus
TN,Middle,Suburban,500to999,Math,White,Female,16Plus
NM,High,Suburban,250to499,ELA,Hispanic,Female,3to9
WI,Elementary,Urban,500to999,NatSci,Black,Female,3to9
LA,High,Urban,500to999,ELA,White,Female,16Plus
KY,High,Urban,250to499,ELA,White,Female,16Plus
TX,Elementary,Suburban,500to999,NatSci,White,Female,3to9
OH,Middle,Suburban,1000Plus,NatSci,White,Female,16Plus
LA,High,Urban,Lessthan250,ELA,White,Female,16Plus
AR,Elementary,Suburban,250to499,ELA,White,Female,3to9
TN,Middle,Urban,500to999,NatSci,White,Female,3to9
WI,Middle,Suburban,250to499,Math,White,Female,10to15
WI,Elementary,Urban,1000Plus,NatSci,White,Female,16Plus
MA,High,Urban,500to999,Math,White,Female,16Plus
AR,Elementary,Suburban,Lessthan250,ELA,White,Female,10to15
OH,High,Suburban,1000Plus,ELA,White,Female,16Plus
NE,Elementary,Rural,1000Plus,ELA,Black,Female,3to9
WI,High,Urban,250to499,Math,White,Female,3to9
KY,Elementary,Town,250to499,NatSci,White,Female,3to9
SC,Elementary,Town,1000Plus,Math,White,Female,16Plus
MA,Elementary,Suburban,Lessthan250,NatSci,White,Female,16Plus
IL,High,Rural,250to499,ELA,Black,Female,16Plus
LA,Elementary,Town,1000Plus,NatSci,White,Female,16Plus
AR,Elementary,Rural,Lessthan250,ELA,White,Female,10to15
DE,Elementary,Urban,500to999,ELA,White,Male,16Plus
AR,High,Rural,1000Plus,ELA,White,Female,16Plus
CA,Elementary,Suburban,500to999,ELA,White,Female,16Plus
OH,Middle,Rural,250to499,NatSci,White,Female,16Plus
RI,High,Urban,500to999,ELA,White,Female,16Plus
FL,Elementary,Rural,500to999,Math,Hispanic,Male,10to15
LA,Elementary,Urban,250to499,ELA,White,Female,10to15
NH,Elementary,Urban,1000Plus,ELA,White,Female,10to15
OH,Middle,Town,1000Plus,ELA,White,Female,Lessthan3
DE,Elementary,Town,250to499,Math,White,Female,16Plus
DE,Elementary,Suburban,Lessthan250,ELA,White,Female,16Plus
WI,Middle,Rural,1000Plus,NatSci,Asian,Female,16Plus
NE,High,Urban,250to499,Math,White,Female,16Plus
TX,Elementary,Rural,250to499,ELA,White,Female,3to9
WY,Elementary,Suburban,500to999,NatSci,White,Female,16Plus
CA,Middle,Rural,500to999,ELA,White,Female,3to9
LA,High,Suburban,1000Plus,Math,White,Female,16Plus
RI,Elementary,Town,250to499,Math,White,Female,3to9
WA,Elementary,Rural,500to999,NatSci,White,Male,10to15
NM,High,Urban,250to499,ELA,Asian,Female,10to15
OH,High,Town,500to999,ELA,White,Male,16Plus
NM,Elementary,Suburban,500to999,Math,White,Female,3to9
KY,Elementary,Urban,500to999,Math,White,Female,16Plus
WI,Elementary,Urban,1000Plus,ELA,White,Female,10to15
OH,Elementary,Rural,250to499,ELA,White,Male,10to15
MD,Middle,Suburban,500to999,NatSci,White,Female,10to15
CA,High,Urban,500to999,Math,White,Female,10to15
NY,Elementary,Town,250to499,ELA,White,Female,16Plus
NY,Elementary,Town,1000Plus,Math,White,Female,16Plus
MA,Elementary,Rural,500to999,ELA,Black,Female,10to15
TN,Elementary,Suburban,500to999,ELA,White,Female,10to15
MA,Middle,Suburban,500to999,ELA,White,Female,16Plus
LA,High,Town,250to499,NatSci,Black,Female,16Plus
AR,Middle,Rural,250to499,NatSci,White,Female,3to9
LA,High,Town,500to999,NatSci,White,Female,10to15
AL,Elementary,Town,500to999,ELA,White,Female,3to9
CA,High,Rural,500to999,Math,White,Female,16Plus
KY,High,Suburban,500to999,NatSci,White,Female,10to15
MD,Elementary,Urban,250to499,Math,Black,Male,10to15
NE,Middle,Urban,250to499,NatSci,Hispanic,Female,3to9
CA,High,Rural,1000Plus,Math,White,Male,10to15
AL,High,Suburban,250to499,Math,White,Male,16Plus
RI,Elementary,Rural,500to999,ELA,White,Female,3to9
TN,High,Urban,Lessthan250,ELA,White,Female,16Plus
NM,High,Suburban,500to999,NatSci,White,Female,16Plus
AR,High,Rural,1000Plus,ELA,White,Female,16Plus
OH,Middle,Urban,500to999,ELA,White,Female,10to15
DE,High,Urban,1000Plus,ELA,White,Female,10to15
MS,High,Suburban,250to499,ELA,White,Female,16Plus
NY,High,Town,500to999,NatSci,White,Female,16Plus
OH,Elementary,Suburban,250to499,ELA,White,Female,16Plus
IL,High,Town,250to499,ELA,White,Female,16Plus
OK,High,Suburban,250to499,Math,White,Male,16Plus
NM,High,Suburban,500to999,Math,White,Female,16Plus
NY,Elementary,Urban,500to999,NatSci,White,Male,16Plus
CA,Elementary,Rural,1000Plus,ELA,White,Female,3to9
AR,Elementary,Town,500to999,ELA,White,Female,3to9
AR,High,Suburban,Lessthan250,NatSci,White,Female,3to9
RI,High,Rural,500to999,ELA,White,Female,10to15
NV,Elementary,Rural,1000Plus,Math,White,Female,16Plus
CA,Elementary,Rural,500to999,Math,White,Female,16Plus
CA,Elementary,Suburban,500to999,Math,White,Female,16Plus
NC,Middle,Town,500to999,ELA,White,Male,16Plus
WI,Middle,Town,500to999,Math,White,Female,16Plus
AR,High,Suburban,1000Plus,ELA,White,Female,16Plus
MA,High,Urban,250to499,NatSci,White,Female,16Plus
GA,Middle,Rural,1000Plus,ELA,White,Female,16Plus
MS,Elementary,Urban,250to499,Math,White,Female,16Plus
DE,Elementary,Urban,250to499,Math,White,Female,16Plus
DE,Elementary,Urban,1000Plus,ELA,Hispanic,Female,16Plus
OH,Elementary,Town,500to999,ELA,White,Male,16Plus
MA,Elementary,Rural,250to499,ELA,White,Female,16Plus
OH,Elementary,Suburban,250to499,ELA,Hispanic,Female,3to9
CA,Elementary,Rural,1000Plus,ELA,White,Female,3to9
TN,Elementary,Town,250to499,Math,White,Female,3to9
WI,Elementary,Urban,500to999,Math,White,Male,16Plus
SC,Elementary,Urban,1000Plus,NatSci,Asian,Female,3to9
MS,High,Suburban,1000Plus,NatSci,White,Female,16Plus
OK,High,Rural,250to499,ELA,White,Female,16Plus
OH,High,Town,500to999,ELA,White,Male,10to15
GA,High,Urban,500to999,ELA,White,Female,16Plus
NY,High,Suburban,1000Plus,ELA,White,Male,10to15
NY,High,Suburban,250to499,Math,White,Male,16Plus
WV,Elementary,Suburban,250to499,ELA,White,Female,3to9
RI,Elementary,Suburban,250to499,ELA,White,Male,10to15
NY,High,Rural,500to999,NatSci,White,Female,16Plus
PA,Middle,Urban,1000Plus,ELA,White,Female,3to9
RI,High,Suburban,Lessthan250,Math,White,Female,16Plus
NC,Elementary,Urban,500to999,ELA,White,Female,16Plus
TN,Elementary,Rural,500to999,NatSci,White,Male,16Plus
NY,Middle,Suburban,500to999,ELA,White,Female,10to15
MA,High,Urban,Lessthan250,NatSci,White,Female,16Plus
KY,Elementary,Suburban,500to999,Math,White,Female,10to15
VA,High,Rural,1000Plus,ELA,White,Female,3to9
LA,Middle,Suburban,500to999,Math,Multirace,Female,10to15
NY,High,Suburban,500to999,NatSci,White,Male,10to15
CO,High,Town,1000Plus,ELA,White,Male,10to15
NE,Middle,Suburban,500to999,Math,White,Male,3to9
MA,High,Suburban,1000Plus,NatSci,White,Female,16Plus
KY,Elementary,Suburban,Lessthan250,NatSci,White,Female,16Plus
MA,Elementary,Urban,250to499,ELA,White,Male,16Plus
OH,Elementary,Town,250to499,Math,White,Female,16Plus
WI,High,Rural,250to499,ELA,White,Female,10to15
TN,Elementary,Town,500to999,Math,White,Female,3to9
SC,Elementary,Urban,500to999,Math,White,Male,16Plus
RI,Elementary,Town,1000Plus,Math,White,Female,16Plus
LA,Elementary,Suburban,500to999,ELA,White,Male,10to15
NY,Elementary,Town,Lessthan250,Math,Hispanic,Female,3to9
PA,High,Urban,1000Plus,NatSci,White,Female,10to15
WI,Elementary,Urban,Lessthan250,ELA,White,Female,16Plus
WI,Elementary,Urban,250to499,ELA,Multirace,Female,10to15
CA,Elementary,Town,500to999,Math,White,Female,10to15
DE,Elementary,Suburban,500to999,ELA,White,Female,10to15
KY,Elementary,Suburban,Lessthan250,NatSci,Hispanic,Female,3to9
WV,Middle,Suburban,500to999,ELA,White,Female,10to15
VA,Elementary,Suburban,500to999,ELA,Black,Female,3to9
FL,High,Urban,250to499,Math,White,Female,10to15
WI,High,Urban,Lessthan250,ELA,White,Female,3to9
CA,High,Urban,250to499,Math,White,Female,16Plus
OH,Elementary,Suburban,250to499,NatSci,White,Female,16Plus
LA,High,Rural,250to499,NatSci,White,Male,16Plus
CA,Elementary,Urban,1000Plus,ELA,White,Female,16Plus
WV,Elementary,Rural,250to499,ELA,White,Female,16Plus
LA,Middle,Rural,1000Plus,Math,White,Female,16Plus
MA,Elementary,Rural,Lessthan250,NatSci,White,Female,3to9
MA,Middle,Suburban,250to499,ELA,White,Male,3to9
NM,Middle,Suburban,Lessthan250,Math,White,Female,16Plus
DE,Middle,Suburban,250to499,ELA,White,Female,16Plus
NY,High,Urban,500to999,ELA,White,Male,16Plus
RI,Elementary,Rural,1000Plus,ELA,White,Female,10to15
KY,High,Urban,250to499,Math,White,Female,10to15
FL,High,Suburban,250to499,Math,Black,Female,16Plus
LA,Elementary,Urban,500to999,NatSci,Multirace,Female,10to15
AL,High,Suburban,1000Plus,Math,White,Female,10to15
WI,High,Rural,1000Plus,Math,White,Female,3to9
KY,Elementary,Rural,250to499,Math,White,Female,16Plus
OH,Elementary,Suburban,500to999,ELA,White,Female,3to9
MA,Elementary,Town,500to999,Math,White,Female,10to15
NE,High,Urban,250to499,ELA,Hispanic,Female,10to15
MA,Elementary,Urban,Lessthan250,Math,White,Male,10to15
NY,High,Suburban,1000Plus,ELA,White,Female,3to9
AZ,Elementary,Suburban,500to999,ELA,Asian,Female,10to15
OH,Middle,Rural,250to499,ELA,White,Female,16Plus
WV,Elementary,Urban,500to999,NatSci,White,Female,3to9
RI,Elementary,Suburban,1000Plus,ELA,White,Male,10to15
WI,Elementary,Town,Lessthan250,ELA,AIAN,Female,10to15
NM,Middle,Suburban,500to999,Math,Hispanic,Female,16Plus
UT,High,Rural,500to999,Math,White,Female,10to15
TN,Elementary,Town,1000Plus,NatSci,Black,Female,3to9
NY,High,Suburban,250to499,ELA,White,Male,3to9
SC,Elementary,Suburban,250to499,ELA,White,Female,3to9
OH,High,Suburban,1000Plus,Math,White,Female,10to15
MA,Elementary,Rural,250to499,NatSci,White,Female,16Plus
MO,High,Rural,250to499,Math,White,Female,10to15
RI,Elementary,Urban,500to999,Math,White,Female,3to9
LA,Elementary,Rural,Lessthan250,ELA,White,Female,3to9
MO,High,Suburban,Lessthan250,Math,White,Female,3to9
NY,Middle,Rural,250to499,ELA,White,Female,16Plus
MA,Elementary,Town,500to999,ELA,White,Female,10to15
MS,Elementary,Suburban,250to499,ELA,Hispanic,Male,10to15
MS,High,Urban,500to999,NatSci,White,Female,16Plus
WI,Elementary,Suburban,1000Plus,Math,White,Female,10to15
MA,High,Town,Lessthan250,ELA,White,Male,10to15
LA,Elementary,Rural,500to999,Math,Hispanic,Female,16Plus
NY,Elementary,Town,1000Plus,ELA,Other,Female,10to15
TN,Elementary,Suburban,500to999,NatSci,Black,Female,10to15
FL,Elementary,Rural,1000Plus,ELA,White,Female,16Plus
MA,Elementary,Urban,1000Plus,NatSci,White,Female,16Plus
NY,Middle,Suburban,1000Plus,Math,Hispanic,Female,16Plus
MA,High,Urban,Lessthan250,ELA,White,Female,10to15
MA,High,Urban,250to499,Math,White,Male,16Plus
MS,Elementary,Urban,500to999,ELA,White,Female,10to15
NC,Elementary,Suburban,250to499,Math,White,Male,3to9
NY,Elementary,Suburban,1000Plus,NatSci,White,Female,3to9
FL,Elementary,Urban,250to499,NatSci,White,Female,10to15
CA,Elementary,Suburban,250to499,Math,White,Female,16Plus
NY,Middle,Urban,250to499,ELA,Asian,Female,3to9
TX,High,Suburban,250to499,NatSci,White,Female,3to9
AR,Elementary,Urban,250to499,ELA,Multirace,Male,16Plus
LA,Middle,Suburban,500to999,Math,Hispanic,Male,3to9
TX,Middle,Suburban,250to499,ELA,White,Female,16Plus
AL,Elementary,Urban,500to999,Math,White,Female,16Plus
MA,High,Urban,500to999,Math,White,Female,16Plus
FL,Elementary,Suburban,500to999,ELA,White,Male,10to15
WI,Elementary,Rural,250to499,ELA,Asian,Female,10to15
RI,Elementary,Urban,250to499,NatSci,White,Female,3to9
MS,Middle,Urban,250to499,Math,Hispanic,Male,3to9
KY,High,Rural,Lessthan250,ELA,White,Male,3to9
MS,Elementary,Suburban,500to999,Math,White,Female,3to9
TN,Elementary,Rural,250to499,ELA,Black,Male,16Plus
TN,Middle,Suburban,500to999,Math,White,Female,10to15
WI,Elementary,Town,500to999,NatSci,White,Female,16Plus
CO,Middle,Urban,1000Plus,ELA,White,Female,16Plus
KY,High,Rural,500to999,ELA,White,Female,10to15
CA,High,Rural,500to999,NatSci,White,Female,10to15
OH,Elementary,Rural,250to499,ELA,White,Female,16Plus
FL,High,Rural,250to499,Math,White,Female,16Plus
PA,High,Suburban,250to499,Math,White,Female,3to9
OH,Elementary,Suburban,500to999,ELA,Hispanic,Male,10to15
LA,Middle,Urban,250to499,Math,White,Female,10to15
KY,Elementary,Suburban,1000Plus,ELA,White,Female,Lessthan3
TN,Elementary,Rural,250to499,NatSci,Hispanic,Female,10to15
MA,High,Suburban,250to499,ELA,White,Female,10to15
LA,Elementary,Rural,250to499,Math,White,Female,16Plus
CT,Elementary,Suburban,250to499,NatSci,Black,Female,3to9
PA,Elementary,Suburban,Lessthan250,ELA,White,Female,16Plus
NM,Elementary,Suburban,500to999,NatSci,White,Female,16Plus
CA,High,Rural,500to999,ELA,White,Female,16Plus
RI,High,Urban,500to999,NatSci,White,Female,16Plus
KY,Elementary,Urban,1000Plus,NatSci,White,Male,10to15
NY,Elementary,Rural,250to499,ELA,White,Female,10to15
RI,Elementary,Urban,250to499,Math,White,Female,10to15
CA,Elementary,Urban,1000Plus,Math,White,Male,16Plus
GA,Elementary,Town,500to999,ELA,Hispanic,Male,10to15
RI,Middle,Urban,250to499,ELA,White,Female,16Plus
OK,High,Suburban,500to999,ELA,White,Female,3to9
CA,Elementary,Urban,500to999,NatSci,White,Female,16Plus
NY,High,Urban,Lessthan250,Math,White,Female,3to9
RI,Elementary,Suburban,250to499,Math,White,Female,3to9
RI,Elementary,Rural,250to499,NatSci,White,Female,Lessthan3
DE,High,Rural,Lessthan250,ELA,Hispanic,Female,16Plus
LA,Elementary,Rural,500to999,ELA,White,Female,16Plus
LA,Elementary,Town,1000Plus,ELA,White,Female,3to9
WV,Elementary,Suburban,500to999,ELA,Asian,Female,16Plus
RI,Elementary,Rural,250to499,Math,Black,Female,16Plus
TN,Middle,Suburban,500to999,ELA,White,Female,3to9
NY,Elementary,Suburban,500to999,NatSci,White,Female,16Plus
OH,Elementary,Urban,500to999,ELA,White,Female,3to9
OH,Elementary,Rural,Lessthan250,Math,Black,Female,10to15
KY,Middle,Suburban,1000Plus,Math,White,Female,16Plus
NE,High,Suburban,500to999,ELA,White,Female,10to15
MA,Elementary,Suburban,Lessthan250,NatSci,White,Female,3to9
LA,High,Urban,250to499,Math,Black,Female,16Plus
FL,Elementary,Suburban,250to499,NatSci,White,Female,3to9
PA,High,Suburban,250to499,ELA,White,Female,16Plus
AR,Elementary,Rural,250to499,NatSci,White,Female,10to15
TN,Elementary,Urban,250to499,NatSci,White,Female,3to9
AL,Elementary,Urban,1000Plus,Math,Hispanic,Male,3to9
AR,Elementary,Urban,500to999,ELA,White,Female,16Plus
FL,High,Town,250to499,Math,White,Female,10to15
AR,Elementary,Urban,250to499,NatSci,Multirace,Female,10to15
NJ,Elementary,Rural,250to499,NatSci,White,Female,16Plus
MS,High,Suburban,500to999,NatSci,White,Female,10to15
KY,High,Town,250to499,NatSci,White,Female,16Plus
NM,Elementary,Urban,500to999,ELA,White,Female,3to9
KY,Elementary,Suburban,500to999,ELA,White,Female,10to15
TN,Middle,Rural,500to999,Math,White,Female,10to15
RI,High,Suburban,500to999,ELA,White,Female,16Plus
MA,Elementary,Suburban,Lessthan250,Math,Multirace,Female,3to9
PA,Elementary,Rural,500to999,Math,White,Female,3to9
NY,Middle,Rural,500to999,ELA,Black,Female,16Plus
RI,High,Suburban,250to499,Math,White,Female,16Plus
NC,High,Suburban,500to999,ELA,White,Female,16Plus
WI,Elementary,Urban,1000Plus,ELA,White,Male,16Plus
DE,Elementary,Town,250to499,Math,White,Female,10to15
DE,High,Urban,250to499,NatSci,White,Female,16Plus
NE,Elementary,Urban,1000Plus,Math,White,Female,10to15
CO,Elementary,Rural,500to999,NatSci,White,Female,10to15
AR,High,Urban,500to999,ELA,White,Female,10to15
FL,Elementary,Suburban,Lessthan250,ELA,White,Female,16Plus
NM,Elementary,Rural,500to999,ELA,White,Male,16Plus
LA,Elementary,Town,500to999,NatSci,White,Female,3to9
FL,Elementary,Town,500to999,NatSci,Hispanic,Female,16Plus
MS,High,Suburban,500to999,ELA,White,Female,10to15
MD,High,Town,500to999,NatSci,White,Male,16Plus
CA,High,Suburban,500to999,Math,Multirace,Male,10to15
OH,Elementary,Urban,500to999,Math,White,Male,Lessthan3
FL,High,Urban,250to499,Math,White,Female,16Plus
DE,Elementary,Urban,250to499,ELA,Black,Female,16Plus
CO,Elementary,Rural,Lessthan250,NatSci,White,Female,3to9
RI,Elementary,Urban,Lessthan250,NatSci,Multirace,Female,10to15
WI,Elementary,Rural,500to999,NatSci,White,Female,10to15
AR,Elementary,Urban,500to999,NatSci,White,Female,3to9
MD,Elementary,Town,1000Plus,Math,White,Female,3to9
NM,Elementary,Urban,500to999,ELA,White,Female,16Plus
OH,Middle,Suburban,Lessthan250,ELA,White,Female,3to9
CO,Elementary,Rural,250to499,Math,White,Male,10to15
NY,High,Town,500to999,Math,White,Female,10to15
KY,High,Suburban,500to999,Math,White,Female,16Plus
NY,Middle,Town,500to999,ELA,White,Female,3to9
WI,High,Urban,250to499,Math,Black,Female,16Plus
NE,High,Urban,500to999,NatSci,White,Female,16Plus
NM,Elementary,Urban,500to999,Math,White,Female,16Plus
CA,High,Rural,500to999,ELA,White,Female,3to9
FL,High,Rural,250to499,Math,White,Female,10to15
KY,Elementary,Suburban,1000Plus,Math,White,Male,16Plus
NM,Middle,Rural,500to999,ELA,Black,Female,3to9
NY,High,Rural,500to999,Math,White,Female,3to9
UT,High,Rural,500to999,ELA,White,Female,16Plus
OK,High,Town,500to999,Math,Multirace,Female,16Plus
MS,Elementary,Suburban,500to999,NatSci,White,Female,3to9
KS,Elementary,Suburban,1000Plus,ELA,White,Female,16Plus
RI,Elementary,Suburban,500to999,Math,White,Male,3to9
CA,Elementary,Suburban,1000Plus,Math,White,Female,10to15
KY,Elementary,Suburban,500to999,ELA,White,Female,10to15
NY,Elementary,Urban,1000Plus,Math,White,Female,16Plus
AR,Elementary,Rural,500to999,NatSci,White,Female,3to9
TN,Elementary,Town,500to999,Math,White,Male,16Plus
TX,High,Urban,1000Plus,ELA,White,Female,16Plus
NE,High,Rural,500to999,ELA,White,Female,16Plus
TX,Elementary,Suburban,500to999,NatSci,White,Female,10to15
KY,Middle,Rural,1000Plus,ELA,White,Female,10to15
WI,Elementary,Suburban,250to499,NatSci,White,Female,10to15
WI,Elementary,Urban,500to999,ELA,White,Female,16Plus
OH,Elementary,Suburban,250to499,Math,White,Female,3to9
TN,Middle,Suburban,250to499,Math,White,Male,16Plus
CT,High,Urban,1000Plus,ELA,White,Female,3to9
MA,Elementary,Suburban,1000Plus,ELA,White,Female,16Plus
NY,Elementary,Rural,500to999,NatSci,White,Female,16Plus
LA,Middle,Urban,500to999,ELA,White,Male,3to9
AR,Middle,Urban,Lessthan250,ELA,Black,Female,10to15
OH,High,Town,250to499,Math,Black,Female,16Plus
NM,Middle,Suburban,500to999,Math,White,Female,3to9
NM,Elementary,Suburban,250to499,NatSci,White,Female,16Plus
NE,Elementary,Urban,500to999,ELA,White,Female,16Plus
NY,Elementary,Suburban,250to499,NatSci,White,Female,16Plus
MS,Elementary,Suburban,500to999,ELA,White,Female,16Plus
