State,School_Level,School_Locality,School_Size,Subject,Race,Gender,Experience,pop_total
CA,Middle,Town,500to999,NatSci,White,Female,10to15,9
CA,Middle,Urban,1000Plus,ELA,Black,Female,16Plus,17
CA,Middle,Urban,1000Plus,ELA,White,Female,10to15,20
CA,Middle,Urban,1000Plus,ELA,White,Male,16Plus,12
CA,Middle,Urban,1000Plus,NatSci,White,Female,10to15,17
CA,Middle,Urban,250to499,ELA,White,Female,10to15,2
CA,Middle,Urban,250to499,Math,White,Female,10to15,21
CA,Middle,Urban,250to499,Math,White,Female,16Plus,27
CA,Middle,Urban,250to499,NatSci,White,Female,3to9,17
CA,Middle,Urban,250to499,NatSci,White,Female,16Plus,4
CA,Middle,Urban,250to499,NatSci,White,Male,16Plus,9
CA,Middle,Urban,500to999,ELA,Black,Female,3to9,16
CA,Middle,Urban,500to999,ELA,Black,Female,10to15,5
CA,Middle,Urban,500to999,ELA,Hispanic,Male,10to15,8
CA,Middle,Urban,500to999,ELA,White,Female,10to15,5
CA,Middle,Urban,500to999,NatSci,Hispanic,Female,16Plus,16
CA,Middle,Urban,500to999,NatSci,White,Female,3to9,12
CA,Middle,Urban,500to999,NatSci,White,Male,16Plus,17
CO,Elementary,Rural,1000Plus,Math,White,Female,16Plus,11
CO,Elementary,Rural,250to499,ELA,White,Female,3to9,9
CO,Elementary,Rural,250to499,Math,White,Female,10to15,8
CO,Elementary,Rural,250to499,Math,White,Female,16Plus,6
CO,Elementary,Rural,250to499,Math,White,Male,10to15,10
CO,Elementary,Rural,500to999,ELA,White,Female,3to9,18
CO,Elementary,Rural,500to999,ELA,White,Female,16Plus,19
CO,Elementary,Rural,500to999,Math,Black,Female,3to9,10
CO,Elementary,Rural,500to999,Math,Hispanic,Female,16Plus,6
CO,Elementary,Rural,500to999,Math,White,Male,3to9,16
CO,Elementary,Rural,500to999,NatSci,Multirace,Female,3to9,19
CO,Elementary,Rural,500to999,NatSci,White,Female,10to15,13
CO,Elementary,Rural,500to999,NatSci,White,Male,16Plus,8
CO,Elementary,Rural,Lessthan250,NatSci,White,Female,3to9,14
CO,Elementary,Suburban,1000Plus,ELA,Black,Female,16Plus,13
CO,Elementary,Suburban,1000Plus,ELA,White,Male,16Plus,3
CO,Elementary,Suburban,1000Plus,NatSci,White,Female,10to15,11
CO,Elementary,Suburban,250to499,ELA,Multirace,Female,10to15,20
CO,Elementary,Suburban,250to499,ELA,White,Female,16Plus,21
CO,Elementary,Suburban,250to499,Math,Hispanic,Female,3to9,17
CO,Elementary,Suburban,250to499,Math,White,Male,16Plus,13
CO,Elementary,Suburban,250to499,NatSci,White,Female,10to15,13
CO,Elementary,Suburban,500to999,ELA,Black,Female,3to9,10
CO,Elementary,Suburban,500to999,ELA,Hispanic,Female,3to9,16
CO,Elementary,Suburban,500to999,ELA,White,Female,3to9,31
CO,Elementary,Suburban,500to999,ELA,White,Female,16Plus,6
CO,Elementary,Suburban,Lessthan250,NatSci,White,Female,3to9,16
CO,Elementary,Town,1000Plus,ELA,White,Female,3to9,16
CO,Elementary,Town,1000Plus,Math,White,Female,16Plus,14
CO,Elementary,Town,250to499,ELA,White,Female,16Plus,14
CO,Elementary,Town,250to499,Math,Multirace,Female,10to15,12
CO,Elementary,Town,500to999,NatSci,Hispanic,Female,Lessthan3,17
CO,Elementary,Town,500to999,NatSci,White,Female,16Plus,6
CO,Elementary,Urban,1000Plus,ELA,White,Female,16Plus,5
CO,Elementary,Urban,1000Plus,Math,Hispanic,Female,16Plus,7
CO,Elementary,Urban,1000Plus,Math,Hispanic,Male,16Plus,18
CO,Elementary,Urban,1000Plus,Math,White,Female,16Plus,15
CO,Elementary,Urban,250to499,ELA,White,Female,16Plus,4
CO,Elementary,Urban,250to499,Math,White,Male,10to15,11
CO,Elementary,Urban,250to499,Math,White,Male,16Plus,6
CO,Elementary,Urban,250to499,NatSci,White,Female,16Plus,16
CO,Elementary,Urban,250to499,NatSci,White,Male,16Plus,8
CO,Elementary,Urban,500to999,ELA,Black,Female,3to9,14
CO,Elementary,Urban,500to999,ELA,White,Female,10to15,23
CO,Elementary,Urban,500to999,ELA,White,Male,16Plus,10
CO,Elementary,Urban,500to999,Math,Hispanic,Female,16Plus,17
CO,Elementary,Urban,500to999,Math,White,Female,16Plus,9
CO,Elementary,Urban,500to999,Math,White,Male,10to15,11
CO,Elementary,Urban,500to999,NatSci,White,Female,3to9,11
CO,Elementary,Urban,500to999,NatSci,White,Female,10to15,20
CO,Elementary,Urban,500to999,NatSci,White,Female,16Plus,9
CO,High,Rural,1000Plus,ELA,White,Female,10to15,15
CO,High,Rural,250to499,ELA,White,Female,3to9,10
CO,High,Rural,250to499,ELA,White,Female,16Plus,17
CO,High,Rural,250to499,Math,Black,Female,3to9,9
CO,High,Rural,500to999,ELA,White,Female,10to15,17
CO,High,Rural,500to999,Math,White,Female,10to15,15
CO,High,Rural,500to999,NatSci,White,Female,10to15,13
CO,High,Suburban,1000Plus,ELA,White,Male,3to9,7
CO,High,Suburban,1000Plus,Math,White,Female,16Plus,10
CO,High,Suburban,250to499,ELA,Multirace,Female,10to15,11
CO,High,Suburban,250to499,Math,White,Female,10to15,21
CO,High,Suburban,250to499,Math,White,Female,16Plus,21
CO,High,Suburban,500to999,ELA,White,Female,3to9,18
CO,High,Suburban,500to999,ELA,White,Female,10to15,6
CO,High,Suburban,500to999,ELA,White,Male,3to9,8
CO,High,Suburban,500to999,Math,White,Female,16Plus,13
CO,High,Suburban,Lessthan250,Math,Hispanic,Male,16Plus,23
CO,High,Town,1000Plus,ELA,White,Female,16Plus,15
CO,High,Town,1000Plus,ELA,White,Male,10to15,4
CO,High,Town,1000Plus,NatSci,White,Female,10to15,8
CO,High,Town,250to499,ELA,White,Female,16Plus,13
CO,High,Urban,1000Plus,ELA,White,Female,16Plus,2
CO,High,Urban,1000Plus,ELA,White,Male,16Plus,10
CO,High,Urban,250to499,ELA,White,Female,16Plus,14
CO,High,Urban,250to499,Math,White,Male,Lessthan3,23
CO,High,Urban,250to499,NatSci,White,Female,3to9,17
CO,High,Urban,250to499,NatSci,White,Female,16Plus,17
CO,High,Urban,500to999,Math,White,Female,3to9,14
CO,High,Urban,500to999,NatSci,White,Female,16Plus,13
CO,High,Urban,Lessthan250,ELA,White,Female,16Plus,5
CO,Middle,Rural,1000Plus,Math,Black,Female,16Plus,13
CO,Middle,Rural,250to499,NatSci,White,Female,10to15,5
CO,Middle,Rural,500to999,ELA,White,Female,16Plus,7
CO,Middle,Suburban,1000Plus,ELA,White,Female,16Plus,14
CO,Middle,Suburban,1000Plus,NatSci,White,Male,10to15,18
CO,Middle,Suburban,250to499,ELA,Hispanic,Female,3to9,8
CO,Middle,Suburban,250to499,ELA,White,Female,10to15,7
CO,Middle,Suburban,250to499,ELA,White,Female,16Plus,12
CO,Middle,Suburban,250to499,Math,White,Male,16Plus,20
CO,Middle,Suburban,250to499,NatSci,White,Female,3to9,14
CO,Middle,Suburban,500to999,ELA,White,Female,16Plus,7
CO,Middle,Suburban,500to999,Math,White,Female,16Plus,15
CO,Middle,Suburban,500to999,NatSci,White,Female,3to9,21
CO,Middle,Suburban,Lessthan250,Math,White,Female,16Plus,12
CO,Middle,Urban,1000Plus,ELA,Hispanic,Male,16Plus,10
CO,Middle,Urban,1000Plus,ELA,White,Female,16Plus,22
CO,Middle,Urban,250to499,NatSci,Hispanic,Female,3to9,11
CO,Middle,Urban,500to999,ELA,White,Female,10to15,21
CO,Middle,Urban,500to999,Math,White,Female,10to15,11
CO,Middle,Urban,500to999,Math,White,Female,16Plus,13
CO,Middle,Urban,Lessthan250,NatSci,White,Female,16Plus,26
CT,Elementary,Rural,1000Plus,ELA,White,Male,16Plus,16
CT,Elementary,Rural,1000Plus,NatSci,White,Male,10to15,11
CT,Elementary,Rural,250to499,ELA,White,Female,16Plus,6
CT,Elementary,Rural,500to999,ELA,White,Female,3to9,6
CT,Elementary,Rural,500to999,Math,White,Female,10to15,15
CT,Elementary,Rural,500to999,Math,White,Male,16Plus,9
CT,Elementary,Suburban,1000Plus,ELA,White,Female,3to9,9
CT,Elementary,Suburban,250to499,ELA,White,Female,3to9,9
CT,Elementary,Suburban,250to499,NatSci,Black,Female,3to9,8
CT,Elementary,Suburban,500to999,ELA,White,Female,16Plus,19
CT,Elementary,Suburban,500to999,ELA,White,Male,10to15,23
CT,Elementary,Suburban,500to999,NatSci,White,Female,3to9,11
CT,Elementary,Suburban,Lessthan250,NatSci,Black,Female,3to9,5
CT,Elementary,Town,250to499,ELA,White,Female,3to9,3
CT,Elementary,Town,250to499,ELA,White,Female,16Plus,14
CT,Elementary,Town,250to499,NatSci,White,Female,10to15,8
CT,Elementary,Urban,250to499,NatSci,White,Female,3to9,11
CT,High,Suburban,500to999,ELA,Multirace,Female,Lessthan3,8
CT,High,Town,250to499,ELA,White,Female,16Plus,6
CT,High,Urban,1000Plus,ELA,White,Female,3to9,5
CT,High,Urban,Lessthan250,Math,White,Female,16Plus,10
CT,Middle,Rural,Lessthan250,Math,White,Female,3to9,14
CT,Middle,Suburban,250to499,ELA,White,Female,3to9,7
CT,Middle,Town,500to999,Math,White,Female,16Plus,26
CT,Middle,Town,500to999,NatSci,White,Female,16Plus,20
CT,Middle,Urban,1000Plus,ELA,Black,Female,3to9,12
CT,Middle,Urban,500to999,ELA,White,Male,10to15,19
DC,Elementary,Suburban,1000Plus,NatSci,White,Male,16Plus,16
DC,Elementary,Suburban,250to499,NatSci,White,Female,10to15,14
DC,Elementary,Suburban,500to999,Math,White,Female,10to15,16
DC,Elementary,Town,1000Plus,ELA,White,Female,16Plus,4
DC,Elementary,Town,250to499,Math,NHPI,Male,10to15,6
DC,Elementary,Urban,1000Plus,Math,White,Female,16Plus,9
DC,High,Suburban,250to499,NatSci,White,Female,10to15,7
DC,High,Urban,250to499,Math,White,Female,10to15,22
DE,Elementary,Rural,1000Plus,ELA,White,Female,3to9,21
DE,Elementary,Rural,1000Plus,ELA,White,Female,10to15,8
DE,Elementary,Rural,1000Plus,ELA,White,Female,16Plus,13
DE,Elementary,Rural,1000Plus,ELA,White,Male,3to9,15
DE,Elementary,Rural,1000Plus,Math,White,Female,16Plus,14
DE,Elementary,Rural,1000Plus,Math,White,Male,16Plus,12
DE,Elementary,Rural,1000Plus,NatSci,White,Female,3to9,16
DE,Elementary,Rural,1000Plus,NatSci,White,Female,16Plus,12
DE,Elementary,Rural,250to499,ELA,Black,Male,16Plus,9
DE,Elementary,Rural,250to499,ELA,Hispanic,Male,16Plus,4
DE,Elementary,Rural,250to499,ELA,Multirace,Female,3to9,5
DE,Elementary,Rural,250to499,ELA,White,Female,10to15,9
DE,Elementary,Rural,250to499,ELA,White,Female,16Plus,15
DE,Elementary,Rural,250to499,ELA,White,Male,3to9,9
DE,Elementary,Rural,250to499,ELA,White,Male,10to15,5
DE,Elementary,Rural,250to499,Math,Hispanic,Female,16Plus,14
DE,Elementary,Rural,250to499,Math,White,Female,3to9,11
DE,Elementary,Rural,250to499,Math,White,Female,16Plus,28
DE,Elementary,Rural,250to499,Math,White,Male,3to9,12
DE,Elementary,Rural,250to499,Math,White,Male,16Plus,12
DE,Elementary,Rural,250to499,NatSci,Hispanic,Male,10to15,12
DE,Elementary,Rural,250to499,NatSci,White,Female,3to9,5
DE,Elementary,Rural,250to499,NatSci,White,Male,16Plus,11
DE,Elementary,Rural,500to999,ELA,Black,Female,3to9,6
DE,Elementary,Rural,500to999,ELA,Black,Male,10to15,12
DE,Elementary,Rural,500to999,ELA,Hispanic,Female,16Plus,12
DE,Elementary,Rural,500to999,ELA,Hispanic,Male,3to9,15
DE,Elementary,Rural,500to999,ELA,Multirace,Male,3to9,13
DE,Elementary,Rural,500to999,ELA,White,Female,16Plus,35
DE,Elementary,Rural,500to999,ELA,White,Male,10to15,16
DE,Elementary,Rural,500to999,Math,Black,Male,10to15,17
DE,Elementary,Rural,500to999,Math,White,Female,16Plus,21
DE,Elementary,Rural,500to999,Math,White,Male,10to15,10
DE,Elementary,Rural,500to999,Math,White,Male,16Plus,12
DE,Elementary,Rural,500to999,NatSci,Black,Female,3to9,17
DE,Elementary,Rural,500to999,NatSci,Black,Male,3to9,8
DE,Elementary,Rural,500to999,NatSci,White,Female,3to9,3
DE,Elementary,Rural,500to999,NatSci,White,Female,10to15,10
DE,Elementary,Rural,500to999,NatSci,White,Female,16Plus,8
DE,Elementary,Rural,500to999,NatSci,White,Male,3to9,4
DE,Elementary,Rural,Lessthan250,ELA,White,Female,10to15,14
DE,Elementary,Rural,Lessthan250,ELA,White,Female,16Plus,7
DE,Elementary,Rural,Lessthan250,NatSci,White,Female,16Plus,16
DE,Elementary,Suburban,1000Plus,ELA,Black,Female,16Plus,12
DE,Elementary,Suburban,1000Plus,ELA,White,Female,16Plus,23
DE,Elementary,Suburban,1000Plus,ELA,White,Male,3to9,7
DE,Elementary,Suburban,1000Plus,Math,White,Female,3to9,30
DE,Elementary,Suburban,1000Plus,Math,White,Female,16Plus,22
DE,Elementary,Suburban,1000Plus,Math,White,Male,Lessthan3,17
DE,Elementary,Suburban,1000Plus,Math,White,Male,10to15,10
DE,Elementary,Suburban,1000Plus,NatSci,Hispanic,Female,10to15,21
DE,Elementary,Suburban,1000Plus,NatSci,Hispanic,Male,3to9,17
DE,Elementary,Suburban,1000Plus,NatSci,White,Female,10to15,17
DE,Elementary,Suburban,1000Plus,NatSci,White,Female,16Plus,6
DE,Elementary,Suburban,1000Plus,NatSci,White,Male,16Plus,7
DE,Elementary,Suburban,250to499,ELA,Hispanic,Female,3to9,6
DE,Elementary,Suburban,250to499,ELA,Hispanic,Female,10to15,16
DE,Elementary,Suburban,250to499,ELA,White,Female,3to9,23
DE,Elementary,Suburban,250to499,ELA,White,Female,10to15,24
DE,Elementary,Suburban,250to499,ELA,White,Female,16Plus,37
DE,Elementary,Suburban,250to499,ELA,White,Male,3to9,3
DE,Elementary,Suburban,250to499,Math,Hispanic,Female,3to9,8
DE,Elementary,Suburban,250to499,Math,Hispanic,Male,Lessthan3,9
DE,Elementary,Suburban,250to499,Math,White,Female,16Plus,11
DE,Elementary,Suburban,250to499,Math,White,Male,16Plus,14
DE,Elementary,Suburban,250to499,NatSci,Black,Female,16Plus,9
DE,Elementary,Suburban,250to499,NatSci,White,Female,3to9,17
DE,Elementary,Suburban,250to499,NatSci,White,Female,16Plus,13
DE,Elementary,Suburban,500to999,ELA,AIAN,Female,10to15,10
DE,Elementary,Suburban,500to999,ELA,Black,Female,16Plus,19
DE,Elementary,Suburban,500to999,ELA,Hispanic,Female,3to9,12
DE,Elementary,Suburban,500to999,ELA,White,Female,3to9,12
DE,Elementary,Suburban,500to999,ELA,White,Female,10to15,14
DE,Elementary,Suburban,500to999,ELA,White,Female,16Plus,32
DE,Elementary,Suburban,500to999,ELA,White,Male,10to15,15
DE,Elementary,Suburban,500to999,ELA,White,Male,16Plus,6
DE,Elementary,Suburban,500to999,Math,AIAN,Female,3to9,20
DE,Elementary,Suburban,500to999,Math,Hispanic,Female,Lessthan3,16
DE,Elementary,Suburban,500to999,Math,Hispanic,Female,16Plus,10
DE,Elementary,Suburban,500to999,Math,White,Female,3to9,5
DE,Elementary,Suburban,500to999,Math,White,Female,10to15,17
DE,Elementary,Suburban,500to999,Math,White,Female,16Plus,42
DE,Elementary,Suburban,500to999,Math,White,Male,3to9,10
DE,Elementary,Suburban,500to999,NatSci,Black,Female,3to9,6
DE,Elementary,Suburban,500to999,NatSci,Hispanic,Female,3to9,9
DE,Elementary,Suburban,500to999,NatSci,Hispanic,Female,16Plus,17
DE,Elementary,Suburban,500to999,NatSci,White,Female,3to9,30
DE,Elementary,Suburban,500to999,NatSci,White,Female,10to15,16
DE,Elementary,Suburban,500to999,NatSci,White,Female,16Plus,23
DE,Elementary,Suburban,500to999,NatSci,White,Male,3to9,13
DE,Elementary,Suburban,500to999,NatSci,White,Male,10to15,7
DE,Elementary,Suburban,500to999,NatSci,White,Male,16Plus,8
DE,Elementary,Suburban,Lessthan250,ELA,Black,Female,16Plus,19
DE,Elementary,Suburban,Lessthan250,ELA,White,Female,16Plus,15
DE,Elementary,Suburban,Lessthan250,Math,White,Female,3to9,21
DE,Elementary,Suburban,Lessthan250,Math,White,Female,16Plus,3
DE,Elementary,Suburban,Lessthan250,NatSci,Black,Female,16Plus,25
DE,Elementary,Suburban,Lessthan250,NatSci,Black,Male,16Plus,5
DE,Elementary,Suburban,Lessthan250,NatSci,Hispanic,Female,10to15,9
DE,Elementary,Suburban,Lessthan250,NatSci,White,Female,3to9,16
DE,Elementary,Suburban,Lessthan250,NatSci,White,Female,10to15,15
DE,Elementary,Town,1000Plus,ELA,Hispanic,Female,3to9,16
DE,Elementary,Town,1000Plus,ELA,White,Female,3to9,13
DE,Elementary,Town,1000Plus,Math,Hispanic,Female,16Plus,12
DE,Elementary,Town,1000Plus,NatSci,Hispanic,Female,3to9,11
DE,Elementary,Town,1000Plus,NatSci,White,Female,3to9,7
DE,Elementary,Town,250to499,ELA,Black,Female,16Plus,9
DE,Elementary,Town,250to499,ELA,Black,Male,16Plus,10
DE,Elementary,Town,250to499,ELA,White,Female,3to9,15
DE,Elementary,Town,250to499,ELA,White,Female,10to15,8
DE,Elementary,Town,250to499,ELA,White,Male,3to9,17
DE,Elementary,Town,250to499,Math,AIAN,Female,3to9,7
DE,Elementary,Town,250to499,Math,Hispanic,Female,Lessthan3,16
DE,Elementary,Town,250to499,Math,White,Female,10to15,15
DE,Elementary,Town,250to499,Math,White,Female,16Plus,6
DE,Elementary,Town,250to499,Math,White,Male,16Plus,11
DE,Elementary,Town,250to499,NatSci,White,Female,16Plus,7
DE,Elementary,Town,250to499,NatSci,White,Male,16Plus,7
DE,Elementary,Town,500to999,ELA,White,Female,3to9,8
DE,Elementary,Town,500to999,ELA,White,Female,16Plus,13
DE,Elementary,Town,500to999,Math,White,Female,10to15,9
DE,Elementary,Town,500to999,Math,White,Female,16Plus,13
DE,Elementary,Town,500to999,NatSci,Black,Female,3to9,4
DE,Elementary,Town,500to999,NatSci,White,Female,10to15,13
DE,Elementary,Town,500to999,NatSci,White,Female,16Plus,27
DE,Elementary,Town,500to999,NatSci,White,Male,16Plus,17
DE,Elementary,Town,Lessthan250,ELA,White,Female,10to15,6
DE,Elementary,Town,Lessthan250,ELA,White,Male,16Plus,11
DE,Elementary,Town,Lessthan250,Math,White,Male,3to9,25
DE,Elementary,Town,Lessthan250,NatSci,Hispanic,Female,16Plus,7
DE,Elementary,Town,Lessthan250,NatSci,White,Female,16Plus,10
DE,Elementary,Urban,1000Plus,ELA,Black,Female,3to9,20
DE,Elementary,Urban,1000Plus,ELA,Hispanic,Female,16Plus,13
DE,Elementary,Urban,1000Plus,ELA,White,Female,3to9,17
DE,Elementary,Urban,1000Plus,ELA,White,Female,16Plus,14
DE,Elementary,Urban,1000Plus,Math,White,Female,10to15,2
DE,Elementary,Urban,1000Plus,Math,White,Female,16Plus,15
DE,Elementary,Urban,1000Plus,NatSci,White,Female,16Plus,12
DE,Elementary,Urban,250to499,ELA,Black,Female,16Plus,14
DE,Elementary,Urban,250to499,ELA,White,Female,3to9,1
DE,Elementary,Urban,250to499,ELA,White,Female,10to15,5
DE,Elementary,Urban,250to499,ELA,White,Female,16Plus,18
DE,Elementary,Urban,250to499,ELA,White,Male,16Plus,17
DE,Elementary,Urban,250to499,Math,Asian,Female,16Plus,9
DE,Elementary,Urban,250to499,Math,White,Female,3to9,12
DE,Elementary,Urban,250to499,Math,White,Female,10to15,9
DE,Elementary,Urban,250to499,Math,White,Female,16Plus,23
DE,Elementary,Urban,250to499,Math,White,Male,16Plus,9
DE,Elementary,Urban,250to499,NatSci,Black,Male,3to9,12
DE,Elementary,Urban,250to499,NatSci,Hispanic,Male,16Plus,5
DE,Elementary,Urban,250to499,NatSci,White,Female,16Plus,15
DE,Elementary,Urban,250to499,NatSci,White,Male,10to15,10
DE,Elementary,Urban,500to999,ELA,White,Female,3to9,4
DE,Elementary,Urban,500to999,ELA,White,Female,10to15,35
DE,Elementary,Urban,500to999,ELA,White,Female,16Plus,5
DE,Elementary,Urban,500to999,ELA,White,Male,16Plus,19
DE,Elementary,Urban,500to999,Math,Black,Male,3to9,12
DE,Elementary,Urban,500to999,Math,White,Female,3to9,5
DE,Elementary,Urban,500to999,Math,White,Female,10to15,2
DE,Elementary,Urban,500to999,Math,White,Female,16Plus,21
DE,Elementary,Urban,500to999,NatSci,Black,Female,16Plus,15
DE,Elementary,Urban,500to999,NatSci,White,Female,16Plus,11
DE,Elementary,Urban,Lessthan250,ELA,Black,Female,10to15,10
DE,Elementary,Urban,Lessthan250,ELA,White,Female,10to15,17
DE,Elementary,Urban,Lessthan250,ELA,White,Male,3to9,7
DE,Elementary,Urban,Lessthan250,Math,White,Female,16Plus,17
DE,Elementary,Urban,Lessthan250,NatSci,White,Female,10to15,9
DE,High,Rural,1000Plus,ELA,Hispanic,Female,3to9,9
DE,High,Rural,1000Plus,ELA,White,Female,16Plus,16
DE,High,Rural,1000Plus,Math,Black,Female,16Plus,8
DE,High,Rural,1000Plus,Math,White,Female,3to9,12
DE,High,Rural,1000Plus,NatSci,White,Female,16Plus,10
DE,High,Rural,250to499,ELA,Black,Female,10to15,14
DE,High,Rural,250to499,ELA,White,Female,3to9,12
DE,High,Rural,250to499,ELA,White,Female,16Plus,1
DE,High,Rural,250to499,Math,White,Female,Lessthan3,21
DE,High,Rural,250to499,Math,White,Female,3to9,8
DE,High,Rural,250to499,Math,White,Male,16Plus,22
DE,High,Rural,250to499,NatSci,White,Female,3to9,13
DE,High,Rural,250to499,NatSci,White,Female,10to15,10
DE,High,Rural,500to999,ELA,Black,Female,3to9,17
DE,High,Rural,500to999,ELA,White,Female,3to9,13
DE,High,Rural,500to999,ELA,White,Female,10to15,2
DE,High,Rural,500to999,ELA,White,Male,3to9,13
DE,High,Rural,500to999,ELA,White,Male,16Plus,11
DE,High,Rural,500to999,Math,White,Female,16Plus,17
DE,High,Rural,500to999,Math,White,Male,16Plus,10
DE,High,Rural,500to999,NatSci,Hispanic,Female,10to15,16
DE,High,Rural,500to999,NatSci,White,Female,16Plus,17
DE,High,Rural,500to999,NatSci,White,Male,10to15,8
DE,High,Rural,500to999,NatSci,White,Male,16Plus,10
DE,High,Rural,Lessthan250,ELA,Hispanic,Female,16Plus,12
DE,High,Rural,Lessthan250,NatSci,White,Female,3to9,17
DE,High,Suburban,1000Plus,ELA,Hispanic,Female,16Plus,6
DE,High,Suburban,1000Plus,ELA,White,Female,3to9,8
DE,High,Suburban,1000Plus,ELA,White,Female,16Plus,25
DE,High,Suburban,1000Plus,ELA,White,Male,10to15,13
DE,High,Suburban,1000Plus,Math,Multirace,Female,10to15,19
DE,High,Suburban,1000Plus,Math,White,Female,10to15,8
DE,High,Suburban,1000Plus,NatSci,White,Female,16Plus,13
DE,High,Suburban,1000Plus,NatSci,White,Male,10to15,6
DE,High,Suburban,250to499,ELA,Hispanic,Female,10to15,6
DE,High,Suburban,250to499,ELA,White,Female,10to15,12
DE,High,Suburban,250to499,ELA,White,Female,16Plus,22
DE,High,Suburban,250to499,Math,Asian,Female,10to15,8
DE,High,Suburban,250to499,Math,White,Female,Lessthan3,23
DE,High,Suburban,250to499,Math,White,Female,10to15,17
DE,High,Suburban,250to499,Math,White,Female,16Plus,24
DE,High,Suburban,250to499,Math,White,Male,3to9,8
DE,High,Suburban,250to499,NatSci,White,Female,10to15,16
DE,High,Suburban,250to499,NatSci,White,Male,16Plus,15
DE,High,Suburban,500to999,ELA,Hispanic,Female,16Plus,12
DE,High,Suburban,500to999,ELA,White,Female,10to15,7
DE,High,Suburban,500to999,ELA,White,Female,16Plus,24
DE,High,Suburban,500to999,ELA,White,Male,16Plus,17
DE,High,Suburban,500to999,Math,White,Female,3to9,24
DE,High,Suburban,500to999,Math,White,Female,10to15,17
DE,High,Suburban,500to999,Math,White,Female,16Plus,22
DE,High,Suburban,500to999,Math,White,Male,3to9,13
DE,High,Suburban,500to999,NatSci,White,Female,10to15,7
DE,High,Suburban,500to999,NatSci,White,Female,16Plus,27
DE,High,Suburban,500to999,NatSci,White,Male,10to15,8
DE,High,Suburban,Lessthan250,NatSci,White,Female,10to15,10
DE,High,Town,1000Plus,Math,White,Male,10to15,16
DE,High,Town,1000Plus,NatSci,White,Male,10to15,17
DE,High,Town,250to499,ELA,Black,Female,3to9,6
DE,High,Town,250to499,ELA,White,Female,10to15,9
DE,High,Town,250to499,ELA,White,Female,16Plus,10
DE,High,Town,250to499,Math,White,Female,10to15,18
DE,High,Town,250to499,Math,White,Female,16Plus,13
DE,High,Town,250to499,Math,White,Male,10to15,15
DE,High,Town,250to499,NatSci,White,Female,10to15,6
DE,High,Town,500to999,ELA,Hispanic,Female,3to9,13
DE,High,Town,500to999,ELA,White,Female,10to15,7
DE,High,Town,500to999,Math,White,Female,16Plus,20
DE,High,Town,500to999,NatSci,White,Female,16Plus,16
DE,High,Town,Lessthan250,ELA,White,Female,16Plus,7
DE,High,Urban,1000Plus,ELA,Asian,Female,16Plus,16
DE,High,Urban,1000Plus,ELA,White,Female,10to15,17
DE,High,Urban,1000Plus,ELA,White,Male,16Plus,21
DE,High,Urban,1000Plus,Math,Black,Female,Lessthan3,8
DE,High,Urban,1000Plus,Math,Hispanic,Female,16Plus,11
DE,High,Urban,1000Plus,Math,White,Female,10to15,22
DE,High,Urban,1000Plus,Math,White,Female,16Plus,9
DE,High,Urban,1000Plus,Math,White,Male,16Plus,16
DE,High,Urban,1000Plus,NatSci,White,Female,16Plus,17
DE,High,Urban,250to499,ELA,Multirace,Female,10to15,15
DE,High,Urban,250to499,ELA,White,Male,16Plus,12
DE,High,Urban,250to499,Math,White,Female,10to15,10
DE,High,Urban,250to499,NatSci,Hispanic,Female,10to15,4
DE,High,Urban,250to499,NatSci,Hispanic,Female,16Plus,11
DE,High,Urban,250to499,NatSci,White,Female,3to9,6
DE,High,Urban,250to499,NatSci,White,Female,10to15,10
DE,High,Urban,250to499,NatSci,White,Female,16Plus,4
DE,High,Urban,500to999,ELA,White,Female,3to9,12
DE,High,Urban,500to999,ELA,White,Female,10to15,15
DE,High,Urban,500to999,ELA,White,Female,16Plus,7
DE,High,Urban,500to999,ELA,White,Male,3to9,20
DE,High,Urban,500to999,ELA,White,Male,16Plus,23
DE,High,Urban,500to999,Math,Hispanic,Male,3to9,3
DE,High,Urban,500to999,Math,White,Female,16Plus,13
DE,High,Urban,500to999,Math,White,Male,16Plus,16
DE,High,Urban,500to999,NatSci,White,Male,16Plus,8
DE,High,Urban,Lessthan250,ELA,White,Female,3to9,22
DE,High,Urban,Lessthan250,ELA,White,Female,16Plus,7
DE,High,Urban,Lessthan250,Math,White,Female,3to9,2
DE,Middle,Rural,1000Plus,ELA,White,Female,3to9,14
DE,Middle,Rural,1000Plus,ELA,White,Female,10to15,10
DE,Middle,Rural,1000Plus,ELA,White,Female,16Plus,20
DE,Middle,Rural,1000Plus,Math,Hispanic,Female,3to9,16
DE,Middle,Rural,1000Plus,Math,White,Female,16Plus,9
DE,Middle,Rural,1000Plus,NatSci,White,Female,3to9,17
DE,Middle,Rural,1000Plus,NatSci,White,Male,3to9,13
DE,Middle,Rural,1000Plus,NatSci,White,Male,16Plus,4
DE,Middle,Rural,250to499,ELA,White,Female,3to9,16
DE,Middle,Rural,250to499,ELA,White,Female,16Plus,16
DE,Middle,Rural,250to499,Math,White,Female,10to15,11
DE,Middle,Rural,250to499,NatSci,Hispanic,Female,10to15,7
DE,Middle,Rural,500to999,ELA,Black,Female,16Plus,14
DE,Middle,Rural,500to999,ELA,White,Female,16Plus,8
DE,Middle,Rural,500to999,Math,Black,Female,10to15,9
